VirTra Price to Free Cash Flow Ratio Historical Data,VirTra Price to Free Cash Flow Ratio Historical Data,VirTra Price to Free Cash Flow Ratio Historical Data,VirTra Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.22,,21.59
2024-09-30,6.22,$0.24,25.72
2024-06-30,7.69,$0.48,16.06
2024-03-31,10.28,$0.76,13.54
2023-12-31,9.47,$0.51,18.69
2023-09-30,5.58,$0.16,35.82
2023-06-30,7.61,$-0.13,0.0
2023-03-31,4.0,$-0.11,0.0
2022-12-31,4.68,$-0.54,0.0
2022-09-30,5.41,$0.21,26.05
2022-06-30,4.92,$-0.80,0.0
2022-03-31,6.1,$-0.49,0.0
2021-12-31,7.0,$-0.36,0.0
2021-09-30,10.14,$-0.56,0.0
2021-06-30,7.37,$0.39,18.67
2021-03-31,6.15,$-0.00,0.0
2020-12-31,3.52,$0.29,12.28
2020-09-30,3.88,$-0.31,0.0
2020-06-30,3.79,$-0.06,0.0
2020-03-31,2.25,$-0.07,0.0
2019-12-31,4.87,$-0.27,0.0
2019-09-30,2.72,$-0.18,0.0
2019-06-30,2.33,$-0.08,0.0
2019-03-31,3.98,$0.13,30.78
2018-12-31,3.07,$0.19,16.51
