Vivos Therapeutics Price to Free Cash Flow Ratio Historical Data,Vivos Therapeutics Price to Free Cash Flow Ratio Historical Data,Vivos Therapeutics Price to Free Cash Flow Ratio Historical Data,Vivos Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.51,,0.0
2024-09-30,2.61,$-3.78,0.0
2024-06-30,2.22,$-6.50,0.0
2024-03-31,4.83,$-7.80,0.0
2023-12-31,12.44,$-10.46,0.0
2023-09-30,0.19,$-10.10,0.0
2023-06-30,0.51,$-14.63,0.0
2023-03-31,0.34,$-18.78,0.0
2022-12-31,0.4,$-22.27,0.0
2022-09-30,0.65,$-25.38,0.0
2022-06-30,1.29,$-23.73,0.0
2022-03-31,2.68,$-22.99,0.0
2021-12-31,2.25,$-21.35,0.0
2021-09-30,4.04,$-27.63,0.0
