Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data,Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data,Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data,Western Alliance Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.61,,0.0
2024-12-31,83.54,$-25.85,0.0
2024-09-30,86.13,$-16.99,0.0
2024-06-30,62.26,$-12.56,0.0
2024-03-31,63.26,$-10.10,0.0
2023-12-31,64.46,$-4.08,0.0
2023-09-30,44.69,$-0.08,0.0
2023-06-30,35.21,$9.60,3.67
2023-03-31,33.86,$17.00,1.99
2022-12-31,56.47,$19.56,2.89
2022-09-30,62.01,$18.07,3.43
2022-06-30,66.31,$-6.89,0.0
2022-03-31,77.42,$-21.65,0.0
2021-12-31,100.26,$-26.36,0.0
2021-09-30,101.04,$-29.60,0.0
2021-06-30,85.91,$-7.30,0.0
2021-03-31,87.17,$6.18,14.1
2020-12-31,55.17,$6.40,8.62
2020-09-30,28.96,$5.80,5.0
2020-06-30,34.45,$6.23,5.53
2020-03-31,27.61,$6.32,4.37
2019-12-31,51.2,$6.63,7.72
2019-09-30,41.19,$6.51,6.33
2019-06-30,39.74,$5.89,6.75
2019-03-31,36.47,$5.70,6.4
2018-12-31,35.09,$5.11,6.86
2018-09-30,50.55,$4.94,10.23
2018-06-30,50.3,$4.48,11.23
2018-03-31,51.64,$3.79,13.62
2017-12-31,50.31,$3.77,13.34
2017-09-30,47.17,$3.15,14.98
2017-06-30,43.72,$3.17,13.78
2017-03-31,43.62,$2.75,15.86
2016-12-31,43.28,$2.60,16.64
2016-09-30,33.36,$2.86,11.68
2016-06-30,29.01,$2.29,12.67
2016-03-31,29.66,$2.07,14.32
2015-12-31,31.86,$2.20,14.48
2015-09-30,27.29,$1.96,13.94
2015-06-30,30.0,$2.08,14.39
2015-03-31,26.34,$2.10,12.52
2014-12-31,24.7,$1.75,14.08
2014-09-30,21.24,$1.39,15.23
2014-06-30,21.15,$1.33,15.87
2014-03-31,21.86,$1.61,13.59
2013-12-31,21.2,$1.69,12.55
2013-09-30,16.82,$2.28,7.38
2013-06-30,14.07,$2.35,5.99
2013-03-31,12.3,$2.43,5.05
2012-12-31,9.36,$2.33,4.02
2012-09-30,9.06,$1.84,4.91
2012-06-30,8.32,$1.71,4.86
2012-03-31,7.53,$1.70,4.42
2011-12-31,5.54,$1.77,3.13
2011-09-30,4.87,$2.45,1.98
2011-06-30,6.31,$1.86,3.39
2011-03-31,7.3,$1.43,5.1
2010-12-31,6.54,$0.02,285.59
2010-09-30,5.95,$-1.01,0.0
2010-06-30,6.37,$-0.72,0.0
2010-03-31,5.06,$-0.13,0.0
2009-12-31,3.36,$1.35,2.48
