Whitestone REIT Price to Free Cash Flow Ratio Historical Data,Whitestone REIT Price to Free Cash Flow Ratio Historical Data,Whitestone REIT Price to Free Cash Flow Ratio Historical Data,Whitestone REIT Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.5,,21.31
2024-09-30,13.41,$0.68,19.71
2024-06-30,13.07,$0.29,44.9
2024-03-31,12.24,$0.60,20.44
2023-12-31,11.87,$0.49,24.2
2023-09-30,9.19,$0.70,13.05
2023-06-30,9.15,$0.75,12.24
2023-03-31,8.56,$0.95,9.03
2022-12-31,8.86,$0.95,9.32
2022-09-30,7.67,$0.09,83.88
2022-06-30,9.64,$-0.97,0.0
2022-03-31,11.77,$-0.98,0.0
2021-12-31,8.91,$-0.95,0.0
2021-09-30,8.5,$-0.29,0.0
2021-06-30,7.09,$0.81,8.75
2021-03-31,8.24,$0.80,10.31
2020-12-31,6.68,$0.82,8.11
2020-09-30,4.95,$0.05,101.69
2020-06-30,5.91,$-0.06,0.0
2020-03-31,4.95,$-0.01,0.0
2019-12-31,10.64,$-0.01,0.0
2019-09-30,10.53,$0.68,15.53
2019-06-30,9.49,$0.94,10.06
2019-03-31,8.78,$0.95,9.26
2018-12-31,8.83,$1.00,8.86
2018-09-30,9.8,$0.85,11.57
2018-06-30,8.62,$0.81,10.69
2018-03-31,6.99,$-2.55,0.0
2017-12-31,9.55,$-2.80,0.0
2017-09-30,8.42,$-2.57,0.0
2017-06-30,7.79,$-4.82,0.0
2017-03-31,8.54,$-1.45,0.0
2016-12-31,8.75,$-1.24,0.0
2016-09-30,8.27,$-1.57,0.0
2016-06-30,8.82,$-2.71,0.0
2016-03-31,7.2,$-4.69,0.0
2015-12-31,6.66,$-4.85,0.0
2015-09-30,6.24,$-8.64,0.0
2015-06-30,6.94,$-7.10,0.0
2015-03-31,8.29,$-5.21,0.0
2014-12-31,7.7,$-4.96,0.0
2014-09-30,7.02,$-3.92,0.0
2014-06-30,7.36,$-2.14,0.0
2014-03-31,6.99,$-4.01,0.0
2013-12-31,6.3,$-5.55,0.0
2013-09-30,6.84,$-4.29,0.0
2013-06-30,7.18,$-9.61,0.0
2013-03-31,6.77,$-8.50,0.0
2012-12-31,6.12,$-7.18,0.0
2012-09-30,5.62,$-9.88,0.0
2012-06-30,5.75,$-6.89,0.0
2012-03-31,5.31,$-7.38,0.0
2011-12-31,4.74,$-7.02,0.0
2011-09-30,4.32,$-4.30,0.0
2011-06-30,4.81,$-1.36,0.0
