Exela Technologies Price to Free Cash Flow Ratio Historical Data,Exela Technologies Price to Free Cash Flow Ratio Historical Data,Exela Technologies Price to Free Cash Flow Ratio Historical Data,Exela Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-27,1.2,,0.3
2024-09-30,2.06,$4.01,0.51
2024-06-30,2.43,$5.83,0.42
2024-03-31,3.25,$11.57,0.28
2023-12-31,3.36,$4.23,0.79
2023-09-30,4.22,$-24.43,0.0
2023-06-30,4.65,$-470.38,0.0
2023-03-31,7.78,$246.78,0.03
2022-12-31,16.4,$-341.78,0.0
2022-09-30,90.62,"$-2,322.37",0.0
2022-06-30,457.6,$-961.34,0.0
2022-03-31,1664.8,$546.91,3.04
2021-12-31,3509.6,"$-4,028.51",0.0
2021-09-30,7760.0,$546.19,14.21
2021-06-30,9560.0,"$-2,996.10",0.0
2021-03-31,8720.0,"$-4,408.64",0.0
2020-12-31,4983.6,$706.72,7.05
2020-09-30,4616.4,"$2,576.83",1.79
2020-06-30,6650.4,"$2,410.23",2.76
2020-03-31,2460.0,"$3,593.72",0.68
2019-12-31,4892.4,$-320.55,0.0
2019-09-30,14160.0,"$-2,978.59",0.0
2019-06-30,26280.0,"$-4,470.39",0.0
2019-03-31,40080.0,"$-1,344.58",0.0
2018-12-31,46680.0,$576.23,81.01
2018-09-30,85560.0,"$7,252.23",11.8
2018-06-30,57000.0,"$1,979.44",28.8
2018-03-31,66360.0,"$2,327.18",28.52
2017-12-31,61800.0,"$4,798.01",12.88
2017-09-30,58800.0,"$-10,966.84",0.0
2017-06-30,119040.0,"$5,894.26",20.2
2017-03-31,119640.0,$416.88,286.99
2016-12-31,119400.0,$-0.00,0.0
2016-09-30,118918.8,"$7,304.94",16.28
2016-06-30,118680.0,$-0.04,0.0
2016-03-31,117360.0,0,0.0
2015-12-31,116400.0,0,0.0
